Aussaat_ID,Versuchsjahr,Termin,Termin_Aufgang,Parzelle_ID,Saatstaerke_kg_ha,Reihenabstand,Pflanzenabstand,Saat_Pflanzgut_ID,Keimfaehige_Koerner,Technik_ID
247,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,55,158,12.5,,4,,9
248,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,56,158,12.5,,4,,9
249,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,57,158,12.5,,4,,9
250,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,58,158,12.5,,4,,9
251,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,59,158,12.5,,4,,9
252,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,60,158,12.5,,4,,9
253,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,61,158,12.5,,4,,9
254,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,62,158,12.5,,4,,9
255,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,63,158,12.5,,4,,9
256,1970,1970-04-07T00:00:00,1970-04-24T00:00:00,64,158,12.5,,4,,9
257,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,1,,75,33.3,5,,10
258,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,2,,75,33.3,5,,10
259,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,3,,75,33.3,5,,10
260,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,4,,75,33.3,5,,10
261,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,5,,75,33.3,5,,10
262,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,6,,75,33.3,5,,10
263,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,7,,75,33.3,5,,10
264,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,8,,75,33.3,5,,10
265,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,9,,75,33.3,5,,10
266,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,10,,75,33.3,5,,10
267,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,11,,75,33.3,5,,10
268,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,12,,75,33.3,5,,10
269,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,13,,75,33.3,5,,10
270,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,14,,75,33.3,5,,10
271,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,15,,75,33.3,5,,10
272,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,16,,75,33.3,5,,10
273,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,17,,75,33.3,5,,10
274,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,18,,75,33.3,5,,10
275,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,19,,75,33.3,5,,10
276,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,20,,75,33.3,5,,10
277,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,21,,75,33.3,5,,10
278,1971,1971-04-19T00:00:00,1970-05-24T00:00:00,22,,75,33.3,5,,10
