Ernte_ID,Versuchsjahr,Termin,Parzelle_ID,Saat_Pflanzgut_ID,Ganzflaechig,Technik_ID
308,1970,1970-08-05T00:00:00,53,4,1,21
309,1970,1970-08-05T00:00:00,61,4,1,21
310,1970,1970-08-05T00:00:00,64,4,1,21
311,1970,1970-08-05T00:00:00,59,4,1,21
312,1970,1970-08-05T00:00:00,58,4,1,21
313,1970,1970-08-05T00:00:00,54,4,1,21
314,1970,1970-08-05T00:00:00,56,4,1,21
315,1970,1970-08-05T00:00:00,62,4,1,21
316,1970,1970-08-05T00:00:00,55,4,1,21
317,1970,1970-08-05T00:00:00,49,4,1,21
318,1970,1970-08-05T00:00:00,50,4,1,21
319,1970,1970-08-05T00:00:00,51,4,1,21
320,1970,1970-08-05T00:00:00,52,4,1,21
321,1971,1971-09-28T00:00:00,1,5,1,24
322,1971,1971-09-28T00:00:00,2,5,1,24
323,1971,1971-09-28T00:00:00,3,5,1,24
324,1971,1971-09-28T00:00:00,4,5,1,24
325,1971,1971-09-28T00:00:00,5,5,1,24
326,1971,1971-09-28T00:00:00,6,5,1,24
327,1971,1971-09-28T00:00:00,7,5,1,24
328,1971,1971-09-28T00:00:00,8,5,1,24
329,1971,1971-09-28T00:00:00,9,5,1,24
330,1971,1971-09-28T00:00:00,10,5,1,24
331,1971,1971-09-28T00:00:00,11,5,1,24
332,1971,1971-09-28T00:00:00,12,5,1,24
333,1971,1971-09-28T00:00:00,13,5,1,24
334,1971,1971-09-28T00:00:00,14,5,1,24
335,1971,1971-09-28T00:00:00,15,5,1,24
336,1971,1971-09-28T00:00:00,16,5,1,24
337,1971,1971-09-28T00:00:00,22,5,1,24
338,1971,1971-09-28T00:00:00,28,5,1,24
339,1971,1971-09-28T00:00:00,30,5,1,24
340,1971,1971-09-28T00:00:00,26,5,1,24
341,1971,1971-09-28T00:00:00,17,5,1,24
342,1971,1971-09-28T00:00:00,18,5,1,24
343,1971,1971-09-28T00:00:00,19,5,1,24
344,1971,1971-09-28T00:00:00,20,5,1,24
345,1971,1971-09-28T00:00:00,29,5,1,24
346,1971,1971-09-28T00:00:00,31,5,1,24
347,1971,1971-09-28T00:00:00,24,5,1,24
348,1971,1971-09-28T00:00:00,32,5,1,24
349,1971,1971-09-28T00:00:00,25,5,1,24
350,1971,1971-09-28T00:00:00,21,5,1,24
351,1971,1971-09-28T00:00:00,23,5,1,24
352,1971,1971-09-28T00:00:00,27,5,1,24
353,1971,1971-09-28T00:00:00,45,5,1,24
354,1971,1971-09-28T00:00:00,39,5,1,24
355,1971,1971-09-28T00:00:00,37,5,1,24
356,1971,1971-09-28T00:00:00,48,5,1,24
357,1971,1971-09-28T00:00:00,43,5,1,24
358,1971,1971-09-28T00:00:00,41,5,1,24
359,1971,1971-09-28T00:00:00,47,5,1,24
360,1971,1971-09-28T00:00:00,46,5,1,24
361,1971,1971-09-28T00:00:00,33,5,1,24
362,1971,1971-09-28T00:00:00,34,5,1,24
363,1971,1971-09-28T00:00:00,35,5,1,24
364,1971,1971-09-28T00:00:00,36,5,1,24
365,1971,1971-09-28T00:00:00,40,5,1,24
366,1971,1971-09-28T00:00:00,42,5,1,24
367,1971,1971-09-28T00:00:00,44,5,1,24
368,1971,1971-09-28T00:00:00,38,5,1,24
369,1971,1971-09-28T00:00:00,57,5,1,24
370,1971,1971-09-28T00:00:00,63,5,1,24
371,1971,1971-09-28T00:00:00,60,5,1,24
372,1971,1971-09-28T00:00:00,53,5,1,24
373,1971,1971-09-28T00:00:00,61,5,1,24
374,1971,1971-09-28T00:00:00,64,5,1,24
375,1971,1971-09-28T00:00:00,59,5,1,24
376,1971,1971-09-28T00:00:00,58,5,1,24
377,1971,1971-09-28T00:00:00,54,5,1,24
378,1971,1971-09-28T00:00:00,56,5,1,24
379,1971,1971-09-28T00:00:00,62,5,1,24
380,1971,1971-09-28T00:00:00,55,5,1,24
381,1971,1971-09-28T00:00:00,49,5,1,24
382,1971,1971-09-28T00:00:00,50,5,1,24
383,1971,1971-09-28T00:00:00,51,5,1,24
384,1971,1971-09-28T00:00:00,52,5,1,24
385,1972,1972-08-19T00:00:00,1,6,1,21
386,1972,1972-08-19T00:00:00,2,6,1,21
387,1972,1972-08-19T00:00:00,3,6,1,21
388,1972,1972-08-19T00:00:00,4,6,1,21
389,1972,1972-08-19T00:00:00,5,6,1,21
390,1972,1972-08-19T00:00:00,6,6,1,21
391,1972,1972-08-19T00:00:00,7,6,1,21
392,1972,1972-08-19T00:00:00,8,6,1,21
393,1972,1972-08-19T00:00:00,9,6,1,21
394,1972,1972-08-19T00:00:00,10,6,1,21
395,1972,1972-08-19T00:00:00,11,6,1,21
396,1972,1972-08-19T00:00:00,12,6,1,21
397,1972,1972-08-19T00:00:00,13,6,1,21
398,1972,1972-08-19T00:00:00,14,6,1,21
399,1972,1972-08-19T00:00:00,15,6,1,21
400,1972,1972-08-19T00:00:00,16,6,1,21
401,1972,1972-08-19T00:00:00,22,6,1,21
402,1972,1972-08-19T00:00:00,28,6,1,21
403,1972,1972-08-19T00:00:00,30,6,1,21
404,1972,1972-08-19T00:00:00,26,6,1,21
405,1972,1972-08-19T00:00:00,17,6,1,21
406,1972,1972-08-19T00:00:00,18,6,1,21
407,1972,1972-08-19T00:00:00,19,6,1,21
408,1972,1972-08-19T00:00:00,20,6,1,21
409,1972,1972-08-19T00:00:00,29,6,1,21
410,1972,1972-08-19T00:00:00,31,6,1,21
411,1972,1972-08-19T00:00:00,24,6,1,21
412,1972,1972-08-19T00:00:00,32,6,1,21
413,1972,1972-08-19T00:00:00,25,6,1,21
414,1972,1972-08-19T00:00:00,21,6,1,21
415,1972,1972-08-19T00:00:00,23,6,1,21
416,1972,1972-08-19T00:00:00,27,6,1,21
417,1972,1972-08-19T00:00:00,45,6,1,21
418,1972,1972-08-19T00:00:00,39,6,1,21
419,1972,1972-08-19T00:00:00,37,6,1,21
420,1972,1972-08-19T00:00:00,48,6,1,21
421,1972,1972-08-19T00:00:00,43,6,1,21
422,1972,1972-08-19T00:00:00,41,6,1,21
423,1972,1972-08-19T00:00:00,47,6,1,21
424,1972,1972-08-19T00:00:00,46,6,1,21
425,1972,1972-08-19T00:00:00,33,6,1,21
426,1972,1972-08-19T00:00:00,34,6,1,21
427,1972,1972-08-19T00:00:00,35,6,1,21
428,1972,1972-08-19T00:00:00,36,6,1,21
429,1972,1972-08-19T00:00:00,40,6,1,21
430,1972,1972-08-19T00:00:00,42,6,1,21
431,1972,1972-08-19T00:00:00,44,6,1,21
432,1972,1972-08-19T00:00:00,38,6,1,21
433,1972,1972-08-19T00:00:00,57,6,1,21
434,1972,1972-08-19T00:00:00,63,6,1,21
